% Model,弧形钢板仿真3Mhz.mph
% Version,COMSOL 6.2.0.290
% Date,"May 29 2026, 21:00"
% Table,表格 1 - 
% 时间 (µs),"总声压 (Pa), 边界探针 1"
0,0
0.002777777777777778,0
0.005555555555555556,0
0.008333333333333333,0
0.011111111111111112,0
0.013888888888888892,0
0.016666666666666666,0
0.019444444444444445,0
0.022222222222222223,0
0.025000000000000005,0
0.027777777777777783,0
0.030555555555555558,0
0.03333333333333333,0
0.036111111111111115,0
0.03888888888888889,0
0.04166666666666667,0
0.044444444444444446,0
0.04722222222222223,-6.187511201639153E-4
0.05000000000000001,-0.0022360789339157124
0.052777777777777785,-0.004410774984261218
0.055555555555555566,-0.006793915445850423
0.05833333333333334,-0.009294559392442668
0.061111111111111116,-0.01192085656631344
0.06388888888888888,-0.014754454643411274
0.06666666666666665,-0.017889045248674573
0.06944444444444443,-0.0214033407570306
0.0722222222222222,-0.025343263895360096
0.07499999999999997,-0.029721183454702885
0.07777777777777775,-0.034524114099088773
0.08055555555555552,-0.03972704549199344
0.08333333333333329,-0.045305738359205774
0.08611111111111105,-0.05124543799654164
0.08888888888888884,-0.057543647804072166
0.0916666666666666,-0.06420730218207228
0.09444444444444437,-0.07124624761333499
0.09722222222222215,-0.07866573996695198
0.09999999999999992,-0.08646051359180774
0.10277777777777769,-0.0946120847565696
0.10555555555555546,-0.10308967834164078
0.10833333333333324,-0.11185395548978627
0.11111111111111101,-0.12086193567798491
0.11388888888888878,-0.130071341646883
0.11666666666666656,-0.13944302597783126
0.11944444444444433,-0.1489409550999297
0.1222222222222221,-0.1585301206583876
0.12499999999999986,-0.1681734179254989
0.12777777777777763,-0.1778287785730689
0.13055555555555542,-0.18744763086294916
0.1333333333333332,-0.19697520057126838
0.13611111111111096,-0.20635248105858792
0.13888888888888873,-0.21551913321240454
0.1416666666666665,-0.22441630770275608
0.14444444444444426,-0.23298847943530995
0.14722222222222203,-0.24118378498395512
0.14999999999999983,-0.24895289836735002
0.1527777777777776,-0.256246972877748
0.15555555555555536,-0.26301545355448364
0.15833333333333313,-0.26920454855066683
0.1611111111111109,-0.27475686580806846
0.16388888888888867,-0.27961229026047063
0.16666666666666644,-0.2837097548217469
0.16944444444444423,-0.28698928954256026
0.172222222222222,-0.2893936984231298
0.17499999999999977,-0.2908694069279577
0.17777777777777753,-0.29136636112300646
0.1805555555555553,-0.29083721312278404
0.18333333333333307,-0.2892362718870443
0.18611111111111084,-0.28651875447769026
0.18888888888888863,-0.2826407327846072
0.1916666666666664,-0.27755989591771985
0.19444444444444417,-0.271236944091837
0.19722222222222194,-0.2636372053375913
0.1999999999999997,-0.2547319968485686
0.20277777777777747,-0.24449935453963795
0.20555555555555524,-0.23292398251260796
0.20833333333333304,-0.21999654157864967
0.2111111111111108,-0.20571260658174717
0.21388888888888857,-0.1900717050640189
0.21666666666666634,-0.1730767828572371
0.2194444444444441,-0.15473425774080476
0.22222222222222188,-0.13505459266981967
0.22499999999999964,-0.11405312990796616
0.22777777777777744,-0.09175084300742312
0.2305555555555552,-0.06817471015963716
0.23333333333333298,-0.043357566979681614
0.23611111111111074,-0.01733749841880082
0.23888888888888854,0.009842997093855194
0.24166666666666634,0.03813775521960093
0.24444444444444413,0.06749732379371079
0.24722222222222193,0.09786882700776059
0.24999999999999972,0.12919535807672
0.25277777777777755,0.16141511158487862
0.2555555555555553,0.19446055820711153
0.25833333333333314,0.22825794888675435
0.2611111111111109,0.2627273220206153
0.26388888888888873,0.2977830192515687
0.26666666666666655,0.33333455415132374
0.2694444444444443,0.36928757964604986
0.27222222222222214,0.4055446961524698
0.2749999999999999,0.44200592980890474
0.27777777777777773,0.47856885327722387
0.2805555555555555,0.515128466309958
0.2833333333333333,0.5515770471691767
0.2861111111111111,0.5878041969009394
0.2888888888888889,0.6236972253375919
0.2916666666666667,0.6591418997939458
0.2944444444444445,0.6940234428025465
0.29722222222222233,0.7282275728600334
0.3000000000000001,0.7616413643044422
0.3027777777777779,0.7941537636811283
0.3055555555555557,0.8256557164263375
0.3083333333333335,0.8560399866040812
0.3111111111111113,0.8852008479817737
0.3138888888888891,0.9130338546202035
0.3166666666666669,0.9394358556597279
0.3194444444444447,0.9643053208590944
0.32222222222222247,0.9875429282415127
0.3250000000000003,1.009052275106947
0.3277777777777781,1.0287405401228307
0.3305555555555559,1.0465189569180684
0.3333333333333337,1.0623030437659218
0.33611111111111147,1.076012636382814
0.3388888888888893,1.0875718526937257
0.34166666666666706,1.0969091493283825
0.3444444444444449,1.1039575987443744
0.34722222222222265,1.1086554352536522
0.3500000000000005,1.1109468178760318
0.3527777777777783,1.1107826745529277
0.35555555555555607,1.1081214557478183
0.3583333333333339,1.102929648306477
0.36111111111111166,1.095181973553245
0.3638888888888895,1.0848612900696013
0.36666666666666725,1.0719583068560823
0.3694444444444451,1.0564712569753798
0.37222222222222284,1.0384056711481389
0.37500000000000067,1.0177743311337508
0.37777777777777843,0.9945973975628418
0.38055555555555626,0.9689026282207251
0.3833333333333341,0.9407255593700314
0.38611111111111185,0.9101095297014143
0.38888888888888967,0.8771054802903754
0.39166666666666744,0.8417715438512615
0.39444444444444526,0.8041725127701975
0.39722222222222303,0.7643793198453496
0.40000000000000085,0.7224686622755465
0.4027777777777786,0.6785228496409289
0.40555555555555645,0.6326298784949843
0.40833333333333427,0.5848836576391926
0.41111111111111204,0.5353842566821236
0.41388888888888986,0.4842380433511948
0.41666666666666763,0.43155761331048315
0.41944444444444545,0.37746148487976167
0.4222222222222232,0.32207360467674717
0.42500000000000104,0.2655227625330526
0.4277777777777788,0.20794202735433995
0.43055555555555663,0.14946828691396324
0.4333333333333344,0.09024191627813055
0.4361111111111122,0.030406534511167288
0.43888888888889005,-0.029891237781680142
0.4416666666666678,-0.0905021191385613
0.44444444444444564,-0.15127467730849936
0.4472222222222234,-0.21205602301996596
0.45000000000000123,-0.27269263711680897
0.452777777777779,-0.3330312320016
0.4555555555555568,-0.3929195331955787
0.4583333333333346,-0.45220689056793545
0.4611111111111124,-0.5107446825908997
0.4638888888888902,-0.5683865413762229
0.466666666666668,-0.6249884783667374
0.46944444444444583,-0.6804090124405852
0.4722222222222236,-0.7345093871911788
0.4750000000000014,-0.7871539190957109
0.4777777777777792,-0.8382104606966688
0.480555555555557,-0.8875509144068854
0.4833333333333348,-0.9350517108558236
0.4861111111111126,-0.9805941783012175
0.48888888888889037,-1.0240647711989515
0.4916666666666682,-1.065355180568725
0.494444444444446,-1.1043623956903577
0.4972222222222238,-1.1409888082615491
0.5000000000000016,-1.1751424381722424
0.5027777777777794,-1.2067373185271653
0.5055555555555572,-1.2356940212011427
0.508333333333335,-1.2619402530184503
0.5111111111111127,-1.2854114245688055
0.5138888888888906,-1.3060510982221474
0.5166666666666684,-1.3238112568682832
0.5194444444444462,-1.3386523873442686
0.5222222222222239,-1.3505434236004938
0.5250000000000018,-1.3594616265663815
0.5277777777777796,-1.3653924799529267
0.5305555555555573,-1.3683296543823003
0.5333333333333352,-1.3682750472997856
0.536111111111113,-1.3652388604218146
0.5388888888888907,-1.3592396471836934
0.5416666666666685,-1.3503042605550235
0.5444444444444464,-1.3384676572687457
0.5472222222222242,-1.32377255830059
0.5500000000000019,-1.306269011128147
0.5527777777777798,-1.2860139301318352
0.5555555555555576,-1.263070696265066
0.5583333333333353,-1.2375088741454323
0.5611111111111131,-1.2094040623268418
0.563888888888891,-1.1788378458552187
0.5666666666666688,-1.145897785681352
0.5694444444444465,-1.1106773688064004
0.5722222222222243,-1.0732758590575575
0.5750000000000022,-1.0337980243577536
0.5777777777777799,-0.9923537584943163
0.5805555555555577,-0.9490576481016337
0.5833333333333356,-0.9040285471361932
0.5861111111111134,-0.8573892079120572
0.5888888888888911,-0.8092659854157817
0.5916666666666689,-0.7597885927951845
0.5944444444444468,-0.7090898555409398
0.5972222222222245,-0.657305401615426
0.6000000000000023,-0.6045732387735173
0.6027777777777801,-0.5510332037395748
0.605555555555558,-0.49682630879962875
0.6083333333333357,-0.44209404507418815
0.6111111111111135,-0.38697771623684674
0.6138888888888914,-0.3316178666927014
0.6166666666666691,-0.27615383790472225
0.6194444444444469,-0.22072344661533178
0.6222222222222247,-0.16546274334373542
0.6250000000000026,-0.11050579100317197
0.6277777777777803,-0.05598440771446873
0.6305555555555581,-0.0020278424859776663
0.6333333333333359,0.051237612339480064
0.6361111111111137,0.1036890354804672
0.6388888888888915,0.15520726391735934
0.6416666666666693,0.2056772024876911
0.6444444444444472,0.25498802888004085
0.6472222222222249,0.3030333014632404
0.6500000000000027,0.3497110100915374
0.6527777777777805,0.3949236289572109
0.6555555555555583,0.4385782287511549
0.6583333333333361,0.48058668341286753
0.6611111111111139,0.5208659724212966
0.6638888888888916,0.5593385450414172
0.6666666666666695,0.5959326902342962
0.6694444444444473,0.6305828526639414
0.672222222222225,0.6632298519143555
0.6750000000000029,0.6938209920634566
0.6777777777777807,0.7223100809571659
0.6805555555555585,0.7486574012565261
0.6833333333333362,0.7728296807478122
0.6861111111111141,0.7948000962178918
0.6888888888888919,0.8145483189943264
0.6916666666666696,0.8320605813160477
0.6944444444444475,0.8473297221511453
0.6972222222222253,0.8603551667561293
0.7000000000000031,0.8711428079055245
0.7027777777777808,0.8797047833668419
0.7055555555555587,0.8860591741249468
0.7083333333333365,0.890229670174293
0.7111111111111142,0.8922452573297089
0.713888888888892,0.8921399671308045
0.7166666666666699,0.8899527067322748
0.7194444444444477,0.885727155800601
0.7222222222222254,0.879511693538108
0.7250000000000033,0.8713593093390354
0.7277777777777811,0.861327458229199
0.7305555555555588,0.8494778438036344
0.7333333333333366,0.8358761385053959
0.7361111111111145,0.8205916735611816
0.7388888888888923,0.8036971403824205
0.74166666666667,0.7852683383535611
0.7444444444444478,0.7653839833729248
0.7472222222222257,0.7441255650420034
0.7500000000000034,0.7215772179244052
0.7527777777777812,0.6978255622238344
0.7555555555555591,0.672959475406681
0.7583333333333369,0.6470697766324893
0.7611111111111146,0.620248833143524
0.7638888888888924,0.5925901223275696
0.7666666666666703,0.56418779639152
0.769444444444448,0.5351362940109511
0.7722222222222258,0.5055300262037224
0.7750000000000036,0.47546313843165566
0.7777777777777815,0.4450293267459758
0.7805555555555592,0.41432167123782854
0.783333333333337,0.38343245001775594
0.7861111111111149,0.3524529109151158
0.7888888888888926,0.3214730004451035
0.7916666666666704,0.2905810717643684
0.7944444444444482,0.259863606983779
0.797222222222226,0.22940498926920838
0.8000000000000038,0.1992873466672652
0.8027777777777816,0.16959046757782315
0.8055555555555594,0.14039176538789544
0.8083333333333372,0.11176625518709342
0.811111111111115,0.0837865039810337
0.8138888888888928,0.056522527862298465
0.8166666666666706,0.030041630719508994
0.8194444444444484,0.004408201564994425
0.8222222222222262,-0.02031649663474592
0.825000000000004,-0.04407451013483493
0.8277777777777818,-0.06681132265253185
0.8305555555555596,-0.08847592057685065
0.8333333333333374,-0.10902080800717368
0.8361111111111151,-0.12840199972221136
0.838888888888893,-0.14657902413543025
0.8416666666666708,-0.1635149596625959
0.8444444444444485,-0.17917651011346736
0.8472222222222264,-0.1935341045176625
0.8500000000000042,-0.20656199184869378
0.852777777777782,-0.21823829708295042
0.8555555555555597,-0.22854501352668863
0.8583333333333376,-0.23746792434290787
0.8611111111111154,-0.24499646720079143
0.8638888888888931,-0.2511235723600996
0.866666666666671,-0.25584551040083336
0.8694444444444488,-0.2591617791653858
0.8722222222222266,-0.261075042805765
0.8750000000000043,-0.2615911152357603
0.8777777777777822,-0.26071896323439087
0.88055555555556,-0.2584706970050904
0.8833333333333377,-0.25486152065825457
0.8861111111111155,-0.2499096299024172
0.8888888888888934,-0.24363606357333437
0.8916666666666712,-0.2360645322952776
0.8944444444444489,-0.227221255424784
0.8972222222222268,-0.21713483364832603
0.9000000000000046,-0.20583617066730422
0.9027777777777823,-0.19335843849592907
0.9055555555555601,-0.17973706398514047
0.908333333333338,-0.16500970544360352
0.9111111111111158,-0.14921619079043527
0.9138888888888935,-0.1323984015268652
0.9166666666666713,-0.11460010520325803
0.9194444444444492,-0.0958667562737839
0.9222222222222269,-0.07624529507764541
0.9250000000000047,-0.05578397373641703
0.9277777777777826,-0.03453222656878408
0.9305555555555604,-0.012540585479978102
0.9333333333333381,-1.9406325107212063E-4
0.9361111111111159,-0.002666283523178772
0.9388888888888938,-0.010603878657915693
0.9416666666666715,-0.017009348152513856
0.9444444444444493,-0.01994571372090226
0.9472222222222271,-0.019438194436095343
0.950000000000005,-0.01685450387470116
0.9527777777777827,-0.013716354158904601
0.9555555555555605,-0.011198991195499013
0.9583333333333384,-0.00984254327163556
0.9611111111111161,-0.00959141626395125
0.9638888888888939,-0.009993321850686835
0.9666666666666717,-0.010473224010233274
0.9694444444444495,-0.01057378009901006
0.9722222222222273,-0.01010074105324699
0.9750000000000051,-0.009148425902975084
0.9777777777777829,-0.008022337706689779
0.9805555555555607,-0.0071028613495166745
0.9833333333333385,-0.006704274695204126
0.9861111111111163,-0.006975421960541166
0.9888888888888941,-0.007867877496320834
0.9916666666666719,-0.009172023868042101
0.9944444444444497,-0.010599652862321429
0.9972222222222275,-0.011879696139800952
1.0000000000000053,-0.012834000019847795
1.002777777777783,-0.013411031447540325
1.0055555555555609,-0.01367222966372088
1.0083333333333386,-0.013742259818987083
1.0111111111111164,-0.013745297973737395
1.0138888888888944,-0.01375170438462672
1.0166666666666722,-0.013753180137939643
1.01944444444445,-0.013672692755315363
1.0222222222222277,-0.013402604943201795
1.0250000000000055,-0.012854990125862283
1.0277777777777832,-0.012004981102139932
1.030555555555561,-0.01091171503057482
1.0333333333333388,-0.00971019291938221
1.0361111111111168,-0.0085777906066793
1.0388888888888945,-0.007687566467184712
1.0416666666666723,-0.007164197453630244
1.04444444444445,-0.007056436025663712
1.0472222222222278,-0.007333492596339061
1.0500000000000056,-0.007904257446147516
1.0527777777777834,-0.008650825074671615
1.0555555555555614,-0.009463837471450732
1.0583333333333391,-0.010267805175123315
1.061111111111117,-0.011029224428412884
1.0638888888888947,-0.01174706801964209
